Jogador,#,Nação,Pos.,Idade,Min.,Gols,Assis.,PB,PT,TC,CaG,CrtsA,CrtV,Contatos,Div,Crts,Bloqueios,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Conduções,PrgC,Tent,Suc,Data
Alexis Mac Allister,10,arARG,DM,25-252,90,0,0,0,0,0,0,0,0,62,6,0,2,0.0,0.0,0.1,3,1,44,51,"86,3",7,22,1,0,0,2024-09-01
Ryan Gravenberch,38,nlNED,DM,22-108,90,0,0,0,0,0,0,0,0,51,2,4,0,0.0,0.0,0.0,1,1,34,41,"82,9",4,27,3,2,1,2024-09-01
Andrew Robertson,26,sctSCO,LB,30-174,82,0,0,0,0,0,0,0,0,52,1,0,1,0.0,0.0,0.0,1,0,39,48,"81,3",0,22,0,0,0,2024-09-01
Kostas Tsimikas,21,grGRE,LB,28-112,8,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,4,6,"66,7",0,3,0,0,0,2024-09-01
Virgil van Dijk,4,nlNED,CB,33-055,90,0,0,0,0,0,0,1,0,82,2,2,0,0.0,0.0,0.1,2,0,65,68,"95,6",3,37,0,0,0,2024-09-01
Ibrahima Konaté,5,frFRA,CB,25-099,90,0,0,0,0,1,0,0,0,73,2,0,2,0.0,0.0,0.0,0,0,57,64,"89,1",4,34,0,0,0,2024-09-01
Trent Alexander-Arnold,66,engENG,RB,25-330,75,0,0,0,0,0,0,0,0,51,3,0,1,0.0,0.0,0.0,0,0,31,45,"68,9",3,13,2,2,0,2024-09-01
Conor Bradley,84,nirNIR,RB,21-054,15,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,1,0,13,16,"81,3",2,7,1,0,0,2024-09-01
Alisson,1,brBRA,GK,31-335,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,31,36,"86,1",0,17,0,0,0,2024-09-01
15 Jogadores,,,,,990,3,3,0,0,11,3,1,0,605,25,9,12,1.7,1.7,1.4,21,6,405,487,"83,2",30,269,19,20,5,2024-09-01
